id	acc	aucs	auprcs	props
NFKB2	0.98	0.35120294649766365	0.021039345944296694	0.02
SPI1	0.8908045977011494	0.3603925297113752	0.08542903803703411	0.109195404
MAX	0.9105747126436782	0.4080845440993128	0.07419584422826453	0.08942529
TAF1	0.9747126436781609	0.42243782161234994	0.02484537088919657	0.025287356
CTCF	0.892183908045977	0.4286222474699056	0.09172802958020329	0.10781609
GATA2	0.8967816091954023	0.4532416735129877	0.09101745554824742	0.10321839
MYC	0.9181609195402299	0.4977188394951978	0.08871942196419141	0.08183908
TBP	0.9045977011494253	0.5170710797446456	0.10089759343274307	0.0954023
NFKB1	0.9211494252873563	0.5442822000275029	0.09713572415214303	0.078850575
PAX5	0.906896551724138	0.6110907696881503	0.12342984539682292	0.093103446
JUN	0.9006896551724138	0.6345856847787041	0.14345659407416966	0.099310346
FOS	0.903448275862069	0.6471407367018054	0.13438808018222148	0.096551724
